created_at,sportsbook,sport,league,event_name,event_start_date,market_name,bet_name,odds,clv,stake,potential_payout,status,bet_type,bet_profit,notes,is_live_bet,is_free_bet,is_odds_boost,percentage,market_width,saved_filter_name,parlay_id
"04/04/2023, 15:50 EDT",Barstool,baseball,MLB,Minnesota Twins vs Miami Marlins,"04/04/2023, 18:40 EDT",Player Hits,Jazz Chisholm Under 0.5,143.0,158.0,19.05,46.29,pending,positive_ev,0.0,,False,False,False,2.11,39,Baseball,
"04/04/2023, 15:52 EDT",Barstool,baseball,MLB,Los Angeles Angels vs Seattle Mariners,"04/04/2023, 21:40 EDT",Player Home Runs,Cal Raleigh Over 0.5,460.0,421.0,10.0,56.0,lost,positive_ev,-10.0,,False,False,False,3.67,439,Baseball,
"04/04/2023, 15:53 EDT",Barstool,baseball,MLB,Baltimore Orioles vs Texas Rangers,"04/04/2023, 20:05 EDT",Player Home Runs,Adolis Garcia Over 0.5,475.0,419.0,11.47,65.95,won,positive_ev,54.48,,False,False,False,9.01,389,Baseball,
"04/04/2023, 15:58 EDT",Hard Rock,baseball,MLB,Detroit Tigers vs Houston Astros,"04/04/2023, 20:10 EDT",Player Home Runs,Yordan Alvarez Over 0.5,300.0,280.0,11.0,44.0,lost,positive_ev,-11.0,,False,False,False,2.51,154,,
"04/04/2023, 16:05 EDT",FanDuel,baseball,MLB,Detroit Tigers vs Houston Astros,"04/04/2023, 20:10 EDT",Player Strikeouts,Framber Valdez Over 7.5,124.0,123.0,90.0,201.6,won,positive_ev,111.6,,False,False,False,14.65,31,,
"04/04/2023, 16:05 EDT",FanDuel,baseball,MLB,Atlanta Braves vs St. Louis Cardinals,"04/04/2023, 19:45 EDT",Player Strikeouts,Dylan Dodd Over 4.5,182.0,153.0,140.0,394.8,lost,positive_ev,-140.0,,False,False,False,21.53,40,,
"04/04/2023, 16:12 EDT",Barstool,baseball,MLB,Chicago Cubs vs Cincinnati Reds,"04/04/2023, 18:40 EDT",Player Hits,Wil Myers Under 0.5,140.0,156.0,19.46,46.7,lost,positive_ev,-19.46,,False,False,False,5.16,35,,
"04/04/2023, 16:12 EDT",Barstool,baseball,MLB,Chicago Cubs vs Cincinnati Reds,"04/04/2023, 18:40 EDT",Player Hits,Spencer Steer Under 0.5,155.0,171.0,17.58,44.83,won,positive_ev,27.25,,False,False,False,4.48,40,,
"04/04/2023, 16:13 EDT",Barstool,baseball,MLB,Chicago Cubs vs Cincinnati Reds,"04/04/2023, 18:40 EDT",Player Hits,Jake Fraley Under 0.5,175.0,198.0,15.57,42.82,lost,positive_ev,-15.57,,False,False,False,4.41,48,,
"04/04/2023, 16:13 EDT",Barstool,baseball,MLB,Atlanta Braves vs St. Louis Cardinals,"04/04/2023, 19:45 EDT",Player Home Runs,Paul Goldschmidt Over 0.5,380.0,360.0,10.0,48.0,lost,positive_ev,-10.0,,False,False,False,3.92,274,,
"04/04/2023, 16:14 EDT",Hard Rock,baseball,MLB,New York Mets vs Milwaukee Brewers,"04/04/2023, 19:40 EDT",Total Runs,Over 8.5,120.0,111.0,25.0,55.0,won,positive_ev,30.0,,False,False,False,4.81,13,,
"04/04/2023, 16:14 EDT",Barstool,baseball,MLB,New York Mets vs Milwaukee Brewers,"04/04/2023, 19:40 EDT",Player Hits,Mark Canha Under 0.5,170.0,177.0,16.03,43.28,won,positive_ev,27.25,,False,False,False,3.86,45,,
"04/04/2023, 16:15 EDT",Barstool,baseball,MLB,Baltimore Orioles vs Texas Rangers,"04/04/2023, 20:05 EDT",Player Home Runs,Marcus Semien Over 0.5,460.0,433.0,10.0,56.0,lost,positive_ev,-10.0,,False,False,False,4.35,419,,
"04/04/2023, 16:16 EDT",FanDuel,baseball,MLB,Toronto Blue Jays vs Kansas City Royals,"04/04/2023, 19:40 EDT",Total Runs,Under 8.5,180.0,176.0,20.0,56.0,won,positive_ev,36.0,,False,False,False,2.87,23,,
"04/04/2023, 16:30 EDT",Barstool,baseball,MLB,Toronto Blue Jays vs Kansas City Royals,"04/04/2023, 19:40 EDT",Player Bases,George Springer Under 1.5,105.0,-105.0,12.97,26.59,pending,positive_ev,0.0,,False,False,False,4.5,31,,
"04/04/2023, 16:40 EDT",Barstool,baseball,MLB,Chicago Cubs vs Cincinnati Reds,"04/04/2023, 18:40 EDT",Player Hits,TJ Friedl Under 0.5,175.0,207.0,10.0,27.5,lost,positive_ev,-10.0,,False,False,False,3.25,48,Baseball,
"04/04/2023, 16:41 EDT",Barstool,baseball,MLB,Colorado Rockies vs Los Angeles Dodgers,"04/04/2023, 22:10 EDT",Player Hits,Jurickson Profar Under 0.5,128.0,150.0,21.29,48.54,lost,positive_ev,-21.29,,False,False,False,3.25,33,Baseball,
"04/04/2023, 16:42 EDT",Barstool,baseball,MLB,Atlanta Braves vs St. Louis Cardinals,"04/04/2023, 19:45 EDT",Player Bases,Paul Goldschmidt Over 1.5,114.0,-105.0,11.95,25.57,pending,positive_ev,0.0,,False,False,False,2.76,33,Baseball,
"04/04/2023, 16:43 EDT",Barstool,baseball,MLB,Detroit Tigers vs Houston Astros,"04/04/2023, 20:10 EDT",Player Hits,Eric Haase Over 0.5,-115.0,-113.0,31.32,58.55,lost,positive_ev,-31.32,,False,False,False,5.18,33,Baseball,
"04/04/2023, 16:43 EDT",FanDuel,baseball,MLB,Los Angeles Angels vs Seattle Mariners,"04/04/2023, 21:40 EDT",Run Line,Los Angeles Angels -1.5,265.0,243.0,20.0,73.0,lost,positive_ev,-20.0,,False,False,False,4.26,59,Baseball,
"04/04/2023, 16:44 EDT",BetMGM,baseball,MLB,Detroit Tigers vs Houston Astros,"04/04/2023, 20:10 EDT",Player Bases,Ryan Kreidler Under 0.5,110.0,-111.0,4.92,10.33,pending,positive_ev,0.0,,False,False,False,10.16,32,Baseball,
"04/04/2023, 16:45 EDT",Barstool,baseball,MLB,Tampa Bay Rays vs Washington Nationals,"04/04/2023, 19:05 EDT",Run Line,Tampa Bay Rays -3,205.0,190.0,20.0,61.0,won,positive_ev,41.0,,False,False,False,3.18,40,Baseball,
"04/04/2023, 16:46 EDT",Hard Rock,baseball,MLB,Minnesota Twins vs Miami Marlins,"04/04/2023, 18:40 EDT",Player Bases,Jose Miranda Under 0.5,155.0,163.0,10.0,25.5,pending,positive_ev,0.0,,False,False,False,2.28,48,Baseball,
"04/04/2023, 16:58 EDT",FanDuel,baseball,MLB,Philadelphia Phillies vs New York Yankees,"04/04/2023, 19:05 EDT",Player Hits,Alec Bohm Over 1.5,330.0,220.0,25.0,107.5,lost,positive_ev,-25.0,,False,False,True,0.4,74,,
"04/04/2023, 16:59 EDT",Hard Rock,baseball,MLB,Tampa Bay Rays vs Washington Nationals,"04/04/2023, 19:05 EDT",1st Half Total Runs,Over 5.5,140.0,136.0,30.0,72.0,won,positive_ev,42.0,,False,False,False,3.55,19,Baseball,
"04/04/2023, 17:00 EDT",Hard Rock,baseball,MLB,Detroit Tigers vs Houston Astros,"04/04/2023, 20:10 EDT",Total Runs,Over 8.5,135.0,127.0,45.0,105.75,won,positive_ev,60.75,,False,False,False,4.81,14,Baseball,
"04/04/2023, 18:39 EDT",Barstool,baseball,MLB,Toronto Blue Jays vs Kansas City Royals,"04/04/2023, 19:40 EDT",Player Bases,Danny Jansen Under 1.5,-125.0,-154.0,17.03,30.65,pending,positive_ev,0.0,,False,False,False,5.38,50,,
"04/04/2023, 18:39 EDT",FanDuel,basketball,NBA,Denver Nuggets vs Houston Rockets,"04/04/2023, 20:10 EDT",1st Quarter Moneyline,Houston Rockets,210.0,206.0,10.0,31.0,won,positive_ev,21.0,,False,False,False,10.88,30,,
"04/04/2023, 20:02 EDT",BetMGM,baseball,MLB,Baltimore Orioles vs Texas Rangers,"04/04/2023, 20:05 EDT",Player Strikeouts,Andrew Heaney Under 6.5,105.0,-119.0,5.16,10.58,won,positive_ev,5.42,,False,False,False,10.75,34,,
"04/04/2023, 20:03 EDT",BetMGM,basketball,NBA,Portland Trail Blazers vs Memphis Grizzlies,"04/04/2023, 20:10 EDT",1st Half Total Points,Under 118.5,-115.0,-129.0,60.0,112.17,lost,positive_ev,-60.0,,False,False,False,4.56,18,,
"04/04/2023, 20:25 EDT",Hard Rock,baseball,MLB,Los Angeles Angels vs Seattle Mariners,"04/04/2023, 21:40 EDT",Player Bases,Cal Raleigh Over 0.5,-135.0,-137.0,10.0,17.41,pending,positive_ev,0.0,,False,False,False,1.71,57,Baseball,
"04/04/2023, 20:26 EDT",Barstool,baseball,MLB,Cleveland Guardians vs Oakland Athletics,"04/04/2023, 21:40 EDT",Player Home Runs,Mike Zunino Over 0.5,540.0,441.0,10.09,64.58,lost,positive_ev,-10.09,,False,False,False,17.55,439,Baseball,
"04/04/2023, 20:27 EDT",FanDuel,baseball,MLB,Philadelphia Phillies vs New York Yankees,"04/05/2023, 13:05 EDT",Total Runs,Over 8.5,190.0,189.0,40.0,116.0,lost,positive_ev,-40.0,,False,False,False,6.73,22,Baseball,
"04/04/2023, 20:28 EDT",FanDuel,baseball,MLB,Colorado Rockies vs Los Angeles Dodgers,"04/04/2023, 22:10 EDT",Player Strikeouts,Julio Urias Over 6.5,148.0,164.0,20.0,49.6,lost,positive_ev,-20.0,,False,False,False,2.53,51,Baseball,
"04/04/2023, 20:28 EDT",FanDuel,baseball,MLB,Colorado Rockies vs Los Angeles Dodgers,"04/04/2023, 22:10 EDT",1st Half Moneyline,Colorado Rockies,210.0,190.0,15.0,46.5,lost,positive_ev,-15.0,,False,False,False,2.91,30,Baseball,
"04/05/2023, 00:09 EDT",FanDuel,baseball,MLB,Philadelphia Phillies vs New York Yankees,"04/05/2023, 13:05 EDT",Total Runs,Over 10.5,420.0,396.0,10.0,52.0,lost,positive_ev,-10.0,,False,False,False,15.79,116,Baseball,
"04/05/2023, 00:09 EDT",FanDuel,baseball,MLB,Cleveland Guardians vs Oakland Athletics,"04/05/2023, 15:37 EDT",1st Inning Total Runs,Over 0.5,106.0,104.0,24.0,49.44,lost,positive_ev,-24.0,,False,False,False,4.08,17,Baseball,
"04/05/2023, 00:10 EDT",FanDuel,baseball,MLB,Pittsburgh Pirates vs Boston Red Sox,"04/05/2023, 13:35 EDT",Total Runs,Over 10.5,162.0,167.0,45.0,117.9,lost,positive_ev,-45.0,,False,False,False,5.76,19,Baseball,
"04/05/2023, 00:11 EDT",Hard Rock,baseball,MLB,Chicago Cubs vs Cincinnati Reds,"04/05/2023, 12:35 EDT",Total Runs,Under 7.5,125.0,154.0,40.0,90.0,pending,positive_ev,0.0,,False,False,False,4.16,13,Baseball,
