created_at,sportsbook,sport,league,event_name,event_start_date,market_name,bet_name,odds,clv,stake,potential_payout,status,bet_type,bet_profit,notes,is_live_bet,is_free_bet,is_odds_boost,percentage,market_width,saved_filter_name,parlay_id
"04/05/2023, 14:31 EDT",FanDuel,tennis,WTA,Anna Blinkova vs Jessica Pegula,"04/05/2023, 15:00 EDT",Moneyline,Anna Blinkova,570.0,467.0,20.0,134.0,pending,positive_ev,0.0,,False,False,False,9.02,123,,
"04/05/2023, 14:32 EDT",Barstool,baseball,MLB,Cleveland Guardians vs Oakland Athletics,"04/05/2023, 15:37 EDT",Player Hits,Seth Brown Under 0.5,163.0,176.0,3.35,8.81,won,positive_ev,5.46,,False,False,False,3.93,42,Baseball,
"04/05/2023, 14:32 EDT",Barstool,baseball,MLB,Los Angeles Angels vs Seattle Mariners,"04/05/2023, 16:10 EDT",Player Home Runs,Shohei Ohtani Over 0.5,450.0,400.0,2.43,13.37,lost,positive_ev,-2.43,,False,False,False,8.6,347,Baseball,
"04/05/2023, 16:59 EDT",FanDuel,hockey,NHL,Calgary Flames vs Winnipeg Jets,"04/05/2023, 19:30 EDT",Puck Line,Winnipeg Jets -1.5,190.0,205.0,25.0,72.5,lost,positive_ev,-25.0,,False,False,False,6.46,17,Baseball,
"04/05/2023, 16:59 EDT",FanDuel,hockey,NHL,Calgary Flames vs Winnipeg Jets,"04/05/2023, 19:30 EDT",Puck Line,Winnipeg Jets -2.5,330.0,362.0,15.0,64.5,lost,positive_ev,-15.0,,False,False,False,7.37,62,Baseball,
"04/05/2023, 17:04 EDT",DraftKings,basketball,NBA,Sacramento Kings vs Dallas Mavericks,"04/05/2023, 20:30 EDT",Player Assists,Kyrie Irving Over 5.5,-105.0,-113.0,57.9,113.04,won,positive_ev,55.14,,False,False,False,2.89,33,Baseball,
"04/05/2023, 17:10 EDT",Barstool,baseball,MLB,Toronto Blue Jays vs Kansas City Royals,"04/05/2023, 19:40 EDT",1st Half Total Runs,Over 4.5,112.0,105.0,10.0,21.2,lost,positive_ev,-10.0,,False,False,False,3.27,15,Baseball,
"04/05/2023, 17:11 EDT",FanDuel,basketball,NBA,Chicago Bulls vs Milwaukee Bucks,"04/05/2023, 19:40 EDT",Player Assists,Nikola Vucevic Over 3.5,145.0,144.0,15.0,36.75,won,positive_ev,21.75,,False,False,False,2.08,41,,
"04/05/2023, 17:22 EDT",FanDuel,basketball,NBA,Memphis Grizzlies vs New Orleans Pelicans,"04/05/2023, 20:10 EDT",Player Assists,CJ McCollum Over 5.5,126.0,104.0,50.0,113.0,won,positive_ev,63.0,,False,False,False,5.46,31,8 bookies only,
"04/05/2023, 17:33 EDT",FanDuel,basketball,NBA,Sacramento Kings vs Dallas Mavericks,"04/05/2023, 20:40 EDT",Player Double Double,De'Aaron Fox Over 0.5,650.0,550.0,195.0,1267.5,lost,normal,0.0,,False,True,False,,,,
"04/05/2023, 17:33 EDT",Caesars,basketball,NBA,Sacramento Kings vs Dallas Mavericks,"04/05/2023, 20:40 EDT",Player Double Double,De'Aaron Fox Under 0.5,-629.0,-570.0,1094.0,1267.93,won,normal,173.93,,False,False,False,,,,
"04/05/2023, 17:39 EDT",Hard Rock,baseball,MLB,San Francisco Giants vs Chicago White Sox,"04/06/2023, 14:10 EDT",Run Line,Chicago White Sox -1.5,175.0,173.0,20.0,55.0,pending,positive_ev,0.0,,False,False,False,2.99,18,Baseball,
