created_at,sportsbook,sport,league,event_name,event_start_date,market_name,bet_name,odds,clv,stake,potential_payout,status,bet_type,bet_profit,notes,is_live_bet,is_free_bet,is_odds_boost,percentage,market_width,saved_filter_name,parlay_id
"03/22/2023, 12:50 EDT",Barstool,tennis,WTA,Sorana Cirstea vs Fernanda Contreras Gomez,"03/22/2023, 13:10 EDT",Total Sets,Over 2.5,290,282,5.57,21.72,pending,positive_ev,0,,FALSE,FALSE,FALSE,5.34,75,,
"03/22/2023, 12:51 EDT",Barstool,tennis,WTA,Mirjam Bjorklund vs Jelena Ostapenko,"03/23/2023, 11:00 EDT",Total Sets,Over 2.5,240,234,6.69,22.75,pending,positive_ev,0,,FALSE,FALSE,FALSE,4.04,47,,
"03/22/2023, 12:52 EDT",Caesars,basketball,NBA,Phoenix Suns vs Los Angeles Lakers,"03/22/2023, 22:00 EDT",Player Assists,Chris Paul Over 9.5,-104,-115,30,58.85,lost,positive_ev,-30,,FALSE,FALSE,FALSE,1.42,33,,
"03/22/2023, 12:53 EDT",DraftKings,basketball,NBA,Indiana Pacers vs Toronto Raptors,"03/22/2023, 19:30 EDT",Player Made Threes,Fred VanVleet Over 3.5,155,144,15.76,40.19,lost,positive_ev,-15.76,,FALSE,FALSE,FALSE,1.92,39,,
"03/22/2023, 12:54 EDT",BetMGM,basketball,Euroleague,Partizan NIS vs Olympiacos,"03/24/2023, 15:00 EDT",Point Spread,Olympiacos +2.5,-120,100,60,110,pending,positive_ev,0,,FALSE,FALSE,FALSE,4.05,30,,
"03/22/2023, 12:55 EDT",Barstool,basketball,NCAAB,Gonzaga vs UCLA,"03/23/2023, 21:45 EDT",Player Made Threes,Tyger Campbell Over 1.5,135,126,19.95,46.88,pending,positive_ev,0,,FALSE,FALSE,FALSE,4.25,37,,
"03/22/2023, 12:57 EDT",Barstool,tennis,ATP,Nuno Borges vs Emil Ruusuvuori,"03/22/2023, 15:30 EDT",1st Set Total Games,Over 10.5,265,262,10.16,37.08,pending,positive_ev,0,,FALSE,FALSE,FALSE,3.75,63,,
"03/22/2023, 13:10 EDT",BetMGM,basketball,Euroleague,AS Monaco vs Valencia Basket,"03/24/2023, 14:00 EDT",1st Half Total Points,Over 84.5,110,102,48.84,102.56,pending,positive_ev,0,,FALSE,FALSE,FALSE,4.55,20,,
"03/22/2023, 13:11 EDT",BetMGM,basketball,Euroleague,Fenerbahce Beko vs Zalgiris,"03/24/2023, 13:45 EDT",Point Spread,Fenerbahce Beko -8.5,-110,112,40,76.36,pending,positive_ev,0,,FALSE,FALSE,FALSE,3.23,21,,
"03/22/2023, 13:12 EDT",FanDuel,basketball,NBA,San Antonio Spurs vs Milwaukee Bucks,"03/22/2023, 20:00 EDT",Team Total,San Antonio Spurs Over 110.5,102,111,15,30.3,lost,positive_ev,-15,,FALSE,FALSE,FALSE,1.34,17,,
